id;name;category;gender;birthdate;coach_name
04c4d2eb-f7e9-4938-b114-355e55538385;Michael Ryan;2;False;2000-08-25 16:01:23;Stephen Johnson
f300c692-c867-4d76-841b-88202f6bf8b7;Lydia Peck;2;True;2007-04-23 15:04:23;Trevor Adams
2caf94ed-172a-4aef-aa9d-636c675ff9b0;Jerry Mata;2;False;2018-07-18 19:03:23;Edward Tapia
e6ceaef6-7426-408d-b95c-ef50a33e8900;Ryan Fowler;3;False;2005-04-24 09:04:23;Cody Hubbard
5a7d7707-a025-4043-9cd9-b847d5145461;Tiffany Bates;4;True;2003-03-06 11:05:23;Eddie Franklin
0aba5596-cb39-452a-a005-a9685a729706;Jill Flores;2;False;2000-07-25 10:06:23;Jessica Diaz
6478cf3f-3cc2-4795-bd41-0a1ec6ff4cb3;Laura Morris;2;True;2017-11-02 12:01:23;Hannah Smith
907d8e31-f13b-4347-97bc-9f5ed5ade099;Alicia Chapman;7;True;2003-10-03 17:02:23;Sarah Mosley
81fee579-ae87-43c7-bbae-48aab08d2935;Jonathan Gardner;3;True;2001-02-12 17:01:23;Jody Perez
93dade52-3a71-4469-b743-d4776bb34745;Matthew Lam;7;False;2021-08-14 19:06:23;Susan Davenport PhD
7709c452-3a71-49f0-8c1d-c08459948600;Lindsey Brown;2;True;2009-05-05 13:01:23;Andrew House
9ef8d6cf-1dba-4bc1-b1d3-8afb9b8dd7d0;Audrey Villegas;1;False;2006-08-20 09:06:23;Adam Reynolds
0f53693b-cff3-4248-ae83-46295964eb73;Jennifer Robinson;6;False;2020-12-27 16:03:23;Daniel Patton
3dc82135-24b4-49ba-9a14-2fb33edfb423;Jonathan Price;5;False;2017-04-17 12:02:23;Daniel Petersen
b4294586-81fc-4299-8d55-9b5114d8f114;John Robinson;5;False;2011-08-11 14:04:23;Deborah Oconnor
6fc8fa65-9253-46b0-b42d-f05cbf614518;Nicole Parsons;5;True;2023-01-01 19:02:23;David Carr
9aa8d035-3946-45f2-bd11-7d3ef1de2b90;Cody Anderson;6;True;2012-05-10 19:01:23;Linda Todd
1a3ca4d9-7402-42dc-b055-7138637819c4;Ian Kim;8;True;2018-07-13 08:06:23;Rebecca Scott
c45a0f64-e7e6-4a77-8d5c-2c286d5afccd;Travis Martin;4;False;2007-10-15 14:01:23;Charles Burns
5651444d-6146-427a-b7ed-4e3265b72885;Brian Nguyen;7;False;2005-04-27 12:06:23;Kimberly Frank
5a4bef36-cf7f-4fd5-9451-56936f3f0b91;Bobby Yoder;2;True;2014-10-04 10:02:23;Vernon Palmer MD
bfa4c1ad-f058-43ee-8511-1391fc27440a;Jonathan Davis;6;True;2013-08-22 19:01:23;Jessica Alvarez
aee49290-b14b-4aef-89f2-f79721c57135;Diana Cordova;3;True;2006-06-11 08:02:23;Amy White
88d4b873-ffc6-43cd-8d99-14231e135b1a;Sarah Thornton;6;True;2018-04-01 17:03:23;Alyssa Nelson
853ed8e3-33d4-437a-b66c-7eb6297cf9ed;Shannon Morris;4;False;2004-11-07 17:05:23;Jared Smith
fb6c2f80-7398-4ccc-a98b-a031e29a1add;David Harvey;4;True;2016-05-19 16:05:23;Whitney Dunn
17433622-a97d-450a-8d4d-6181a60718ce;Matthew Colon;8;True;2003-08-03 15:04:23;Meredith Cisneros
1c52b3f1-56b1-4b56-b83c-4902c6553622;James Miller;7;False;2008-12-25 15:02:23;Jessica Peterson
959f66e6-e3f9-4fa5-8412-f346812209ac;Danielle Russo;5;False;2019-10-22 19:05:23;Mr. Justin Lee
9e83570e-30f1-4f5c-bea0-5e36d0b3cedc;Candace Gregory;6;False;2019-06-10 13:06:23;Joshua Walker
6af39d30-59c1-48d7-882b-d4189e8e666c;Anthony Walker;8;True;2015-11-02 18:02:23;David Hernandez
6253107e-2324-4f79-bf99-cffb1bc33207;Donald White;3;False;2020-12-08 10:02:23;Jonathan Hunt
6d7d5c38-427f-4aa5-a8ea-6fddbfb8fd5e;Patricia Friedman;3;True;2004-02-24 16:05:23;Michael Cameron
a92ece2f-f6bd-4d7c-9558-832f58b4c717;Kevin Estes;7;True;2023-06-05 17:04:23;Nicole Barrera
f57fd2d2-535b-45e2-a43f-9e6578f6df97;Kenneth Hodge;3;True;2023-07-12 14:05:23;Mary Cook
8393f1d1-45f5-43aa-be6b-637b0d8dbd60;James Hodges;1;True;2023-08-09 10:01:23;Mary Johnson
dcd3cb02-c32a-4658-88aa-a250630cf029;Allison Thomas;4;True;2005-06-07 13:06:23;Pamela Wiggins
ca2a74c4-9bba-453c-b57a-e363c8353391;Jason Chang;5;True;2014-10-19 10:04:23;Megan Sosa
fdbab15b-b390-44a6-ac6b-651dd715874c;Dana Garcia;3;False;2006-03-23 14:02:23;Angelica Sanchez
aa05106d-134b-4189-87e8-19b89a0d058e;Jim Wolfe;6;True;2022-02-08 12:03:23;Benjamin Jones
b523844c-84e7-4e2b-bd91-f682991c4594;Mr. Brandon Garcia;8;True;2021-03-19 18:04:23;Samantha Williams
f225947c-78f3-4303-87de-67c9e2318d70;Michael Marks;3;True;2009-03-25 10:02:23;Darren Schultz
d63e3efd-c56b-473c-8964-3cb2dc50d51d;Katherine Fischer;8;False;2011-01-02 13:01:23;Kristin Williams
c2afecbb-3e59-4641-ae28-87710fc56ab6;Robert Weber;2;True;2018-09-08 14:05:23;Gordon James
f699978e-bc43-4310-8feb-6a4e26d58d09;Dean Martinez;7;False;2022-12-17 17:02:23;Mr. Edward Rosales
0d2c9438-ad27-47a4-9be9-1008208dedd2;Luis Williamson;8;False;2006-11-13 16:02:23;Gabriel Jennings
8b0cacc5-514f-42c9-b773-359da8a0cc58;Donna Hogan;6;True;2007-02-07 19:06:23;Autumn Watson
0137c3b8-4bbf-40c9-8753-d95276f42abf;Krista Martinez;3;True;2008-10-19 15:06:23;Martha White
ac826c53-c86f-4682-a423-eaba0b61e050;Amy Harris;8;True;2013-11-13 10:05:23;Robert Castillo
8dcee182-fe55-43ef-8df1-d72a10b48ea2;Sean Diaz;6;True;2014-07-09 15:02:23;Maurice Morris
24c39b6f-f129-4f82-b376-0d1085e01f96;Joshua Ware;4;False;2015-05-21 11:01:23;Michael Mahoney
47d8808e-6dda-4f98-91ea-55a3f4159a22;Caleb Johnson;4;False;2013-03-24 08:06:23;Kristina White
0c028d0e-ada5-4390-8278-2f4439877f3b;Deborah Hammond;8;False;2015-07-24 19:02:23;Dylan Hancock
8653c00d-da47-42df-aa30-ffaa09901fed;Julie Thompson;5;False;2010-02-13 10:04:23;Crystal Harris
2608a20f-3788-4350-8d11-eb39f334f522;Jessica Hernandez;7;True;2023-03-18 09:05:23;Danny Luna PhD
72210930-1215-486a-980c-ccba7233e096;Autumn Larsen;2;True;2012-05-14 17:01:23;Danielle Lloyd
bb47cb4b-c365-44b3-9e1d-67693b77ec48;Lori Castro;2;True;2010-04-21 16:03:23;Adam Howard
69e959fa-9c15-464b-b00c-893bdc0c1a4a;Taylor Walker;3;False;2016-01-01 10:01:23;Ronald Morris
28e809f5-f94e-4b60-8d25-896c8ceb9ee6;Kevin Atkins;2;False;2022-11-09 13:05:23;Justin Nelson
0ff805b9-fa84-4cd1-9200-6c44c358e52e;Robert White;1;False;2005-12-16 18:04:23;Maureen Mcclain
5b4b03df-626a-487a-a51d-9c42b63b529d;Alisha Hickman;8;True;2015-03-16 12:06:23;Christy Alexander
f6a1e2ac-c22f-4f32-b5e2-a4b6bc98a4fe;Larry Cole;5;False;2013-12-24 09:04:23;Kurt Mcdonald
ef52863f-0dce-45db-8043-90e8dca29c67;Tina Ramirez;3;True;2023-06-12 09:02:23;Alexander Berger
a9dfd3bc-bdce-4f5e-a9e9-86606a132ea6;Lauren May;6;True;2004-12-06 19:03:23;Teresa Richardson
1048b2d4-8417-40cd-aaa1-edc7e1920b18;Ryan Wang;5;False;2015-10-12 18:01:23;Molly Tucker
d71ffd07-33d2-46ae-8941-0c45ef5690cb;Cheryl Montgomery;7;True;2003-12-17 09:02:23;Katherine Walker
bcad39f4-c1eb-487a-b4ee-a4bf7dbb74f9;Kristina Durham;1;True;2019-11-12 14:01:23;Greg Mcgee
767df5cc-0c53-49cc-ba18-dae1395185af;Paige Robinson;4;False;2013-01-23 19:04:23;Joe Kim
f301cf07-a7e0-41a3-9c39-3f149df5ef00;Megan Flores;5;False;2008-09-09 10:06:23;Johnny Palmer
9ee186aa-a94a-4e87-a8dc-dcc927bae200;Kristy Graham;2;True;2006-08-26 18:02:23;Sara Kidd
55be9010-4e1b-4d61-b20d-d2f182491b99;Jack Moore;7;True;2017-07-23 14:05:23;Tracie Jefferson
ce0d4574-d821-43c3-906e-da8ad14e9136;Danielle Patel;7;False;2021-08-19 13:04:23;Robert Mejia
c3e3f0cf-f580-4625-99fb-3ecaf5f4a6ae;Melissa Young;8;False;2001-03-09 18:03:23;William Rollins
f90ac1a7-9890-4f91-8025-b8a6e71bb02e;Christian Myers;2;False;2017-07-17 16:05:23;Scott Nunez
3f0725f7-c4e2-4628-ba61-83a8cef9dcd9;Michael Conway;3;False;2023-01-27 15:05:23;Jennifer Rice
eacfe53c-48fe-4564-abdb-6caa2531ca81;Casey Green;7;True;2007-02-21 17:06:23;Robert Delgado
200d874b-ca19-4e11-82a2-d20e21ca54c7;Margaret Carr;7;True;2011-10-06 14:04:23;Nathan Peters
